Celula,NombreProyecto
Absolute,AEL.NuevoHome.Web:Quality
Absolute,Pandora-Book
Aurora,AEL.Fanaia.OrquestadorLogs.API
Aurora,AEL.Fanaia.Pagos.API:Quality
Aurora,AEL.Fanaia.Empleados.Interna.API:Quality
Aurora,AEL.Fanaia.Liquidaciones.Interna.API:Quality
Aurora,AEL.Fanaia.DistribucionAportesPension.Aplicacion:Quality
Aurora,AEL.Fanaia.DistribucionAportesPension.API
Aurora,AEL.Fanaia.Empleadores.API:Quality
Bon Voyage,LogsBancarios-PlanillaNSinPago-GenerarLogsBancarios-Cola:Quality
Bon Voyage,AEL.ValidadorPropio.DisposicionFinal.Api:Quality
Bon Voyage,AEL.Administradora.Planillas.API:Quality
Bon Voyage,AEL.Administradora.ArchivosInterconexion.API:Quality
Bon Voyage,AEL.Descomprimir.Funcion:Quality
Bon Voyage,AEL.Administradora.ArchivosSalida.API:Quality
Bon Voyage,AEL.Administradora.CotizantesMultiplesPagos.ValidarEstructura.Function:Quality
Bon Voyage,AEL.Administradora.CotizantesMultiplesPagos.ValidarEstructura.API:Quality
Bon Voyage,AEL.Administradora.GeneracionResultados.Trasladar.Function:Quality
Bon Voyage,AEL.ValidadorPropio.Distribucion.Function:Quality
Bon Voyage,AEL.Administradora.Orquestador.Function:Quality
Bon Voyage,AEL.Administradora.CargueDatosBDReferencias.API:Quality
Bon Voyage,AEL.Administradora.CargueDatosBDReferencias.Funcion:Quality
Bon Voyage,AEL.Administradora.Cifrado.Function:Quality
Bon Voyage,AEL.Empaquetador.ActivarProcesos.Function:Quality
Bon Voyage,AEL.Empaquetador.MoverArchivos.Function:Quality
Bon Voyage,AEL.Empaquetador.Comprimir.Function:Quality
Bon Voyage,AEL.Empaquetador.CifrarArchivosPub.Function:Quality
Bon Voyage,AEL.Administradora.Empaquetador.API:Quality
Bon Voyage,AEL.ValidacionesPropias.ComparaCadenas.API:Quality
Bon Voyage,AEL.ValidacionesPropias.ComparaCadenas.Function:Quality
Bon Voyage,AEL.ValidacionesPropias.AfiliadosBeneficiariosFsp.Function:Quality
Bon Voyage,AEL.Administradora.Monitor.Function:Quality
Bon Voyage,AEL.Administradora.Conciliador:Quality
Bon Voyage,AEL.Administradora.Receptor.Function:Quality
Bon Voyage,AEL.ValidacionesPropias.Afiliados.Function:Quality
Bon Voyage,AEL.ValidacionesPropias.Empleadores.Function:Quality
Bon Voyage,AEL.Administradora.Integrador.GestorCola.Function:Quality
Bon Voyage,AEL.GeneracionResultados.ArchivosFinales.Function:Quality
Bon Voyage,AEL.GeneracionResultadosContador.DurableFunction:Quality
Bon Voyage,AEL.ValidacionesPropias.ConsultarRedis.Library:Quality
Bon Voyage,AEL.Administradora.Integrador.Worker.WebJob:Quality
Bon Voyage,AEL.Administradora.Integrador.GestorDB.API:Quality
Bon Voyage,AEL.Administradora.AportanteIndependiente.Function:Quality
Bon Voyage,AEL.ValidadorPropio.DisposicionFinal.Function:Quality
Bon Voyage,AEL.ValidacionesPropias.CuentasVigencias.Function:Quality
Bon Voyage,AEL.ValidacionesPropias.ArchivosSalida.API:Quality
Bon Voyage,AEL.Voluntarias.Aportantes.API:Quality
Bon Voyage,AEL.Voluntarias.Entidades:Quality
Bon Voyage,AEL.Voluntarias.Aplicacion:Quality
Bon Voyage,AEL.LogsBancarios.AdministradorColas.Function:Quality
Bon Voyage,AEL.LogsBancarios.Notificaciones.Function:Quality
Bon Voyage,MafaW28:Quality
Bon Voyage,MafaWS10:Quality
Bon Voyage,MafaSW31:Quality
Data Stargazer,Portal.BackendDeL.Consultas.API:Quality
Data Stargazer,Portal.FrontDeL.Consultas.API:Quality
Data Stargazer,Portal.MS.Files.Masivas.PJ:Quality
Data Stargazer,aportes-pila-backend-batch-searchs
Data Stargazer,aportes-pila-backend-catalog-maintainer-lambdas:aportes-pila-dev-catalog-maintainer
Data Stargazer,aportes-pila-backend-query-contributor-lambdas:aportes-pila-dev-query-contributor
